ReturnID,OrderLineID,ReturnDate,ReasonCode,Condition,Refund$,RestockFee$,ReturnShipCost$,Disposition
R0003104,OL0026247,2025-12-08,Wrong Size,Opened,294.57,1.49,6.9,Write-off
R0003105,OL0026249,2025-12-20,Defective,New,73.24,9.35,9.59,Resell
R0003106,OL0026257,2026-01-29,Wrong Size,Damaged,19.51,6.29,8.66,Write-off
R0003107,OL0026270,2025-12-17,Wrong Size,New,224.05,2.85,2.85,Resell
R0003108,OL0026278,2025-12-06,Wrong Size,Opened,22.84,8.48,7.74,Write-off
R0003109,OL0026291,2025-11-26,Wrong Size,Opened,272.65,4.19,2.64,Write-off
R0003110,OL0026299,2025-12-18,Other,New,236.28,6.89,4.21,Resell
R0003111,OL0026300,2025-12-28,Changed Mind,New,486.92,2.61,5.98,Resell
R0003112,OL0026309,2025-12-17,Defective,New,192.23,0.93,6.71,Resell
R0003113,OL0026314,2026-01-24,Defective,New,60.95,5.61,1.55,Resell
R0003114,OL0026315,2025-12-03,Changed Mind,Damaged,196.68,1.05,9.27,Write-off
R0003115,OL0026317,2025-12-24,Late Delivery,Opened,187.78,5.18,0.45,Write-off
R0003116,OL0026329,2025-11-20,Defective,New,91.18,5.85,5.81,Resell
R0003117,OL0026332,2025-11-26,Changed Mind,Opened,18.68,0.78,8.19,Write-off
R0003118,OL0026346,2025-12-02,Defective,New,156.6,7.6,6.42,Resell
R0003119,OL0026369,2025-12-18,Other,Opened,307.48,9.55,1.02,Write-off
R0003120,OL0026372,2026-01-25,Late Delivery,Opened,90.03,2.03,1.38,Write-off
R0003121,OL0026381,2026-01-14,Changed Mind,Opened,143.56,2.62,1.07,Write-off
R0003122,OL0026402,2025-12-12,Other,New,314.17,7.93,4.09,Resell
R0003123,OL0026405,2025-12-24,Changed Mind,New,112.14,9.29,4.44,Resell
R0003124,OL0026421,2026-02-06,Late Delivery,Opened,186.57,8.33,9.88,Write-off
R0003125,OL0026428,2025-12-29,Wrong Size,Damaged,114.9,1.29,7.67,Write-off
R0003126,OL0026434,2025-12-07,Defective,Opened,570.17,9.89,7.88,Write-off
R0003127,OL0026435,2026-01-05,Changed Mind,Opened,158.55,3.49,4.9,Write-off
R0003128,OL0026453,2025-11-19,Late Delivery,New,165.59,2.25,2.16,Resell
R0003129,OL0026460,2025-12-04,Changed Mind,Opened,283.45,5.31,1.09,Write-off
R0003130,OL0026461,2025-12-11,Changed Mind,New,333.99,0.22,6.18,Resell
R0003131,OL0026464,2025-12-12,Wrong Size,Opened,248.38,1.95,2.01,Write-off
R0003132,OL0026502,2025-12-03,Changed Mind,Opened,124.13,7.62,5.72,Write-off
R0003133,OL0026510,2025-11-18,Changed Mind,New,209.09,5.51,7.83,Resell
R0003134,OL0026512,2025-11-14,Defective,Opened,44.38,8.18,5.22,Write-off
R0003135,OL0026524,2025-12-21,Defective,New,184.86,1.5,8.11,Resell
R0003136,OL0026537,2025-12-06,Wrong Size,New,153.88,8.15,6.48,Resell
R0003137,OL0026542,2025-12-27,Defective,New,191.67,6.43,5.98,Resell
R0003138,OL0026555,2025-11-28,Changed Mind,Opened,148.4,8.53,7.92,Write-off
R0003139,OL0026558,2025-12-28,Changed Mind,Opened,209.95,6.61,7.55,Write-off
R0003140,OL0026559,2025-12-09,Changed Mind,New,240.17,2.59,9.92,Resell
R0003141,OL0026566,2025-12-10,Changed Mind,New,277.53,4.21,4.33,Resell
R0003142,OL0026577,2025-12-25,Wrong Size,New,158.75,2.98,9.58,Resell
R0003143,OL0026598,2026-01-10,Wrong Size,New,250.66,3.75,4.92,Resell
R0003144,OL0026623,2026-01-24,Late Delivery,Opened,546.3,6.66,1.54,Write-off
R0003145,OL0026626,2026-01-05,Late Delivery,Damaged,266.55,8.56,6.35,Write-off
R0003146,OL0026635,2025-12-02,Changed Mind,New,419.52,3.41,0.96,Resell
R0003147,OL0026643,2026-01-09,Wrong Size,Opened,72.68,6.07,1.46,Write-off
R0003148,OL0026649,2025-12-13,Late Delivery,New,789.61,6.1,8.32,Resell
R0003149,OL0026650,2025-12-08,Changed Mind,Damaged,134.31,6.21,6.85,Write-off
R0003150,OL0026676,2025-12-25,Changed Mind,Damaged,28.79,2.83,8.38,Write-off
R0003151,OL0026683,2025-12-08,Late Delivery,New,393.67,9.63,1.24,Resell
R0003152,OL0026700,2025-12-25,Late Delivery,New,150.25,6.32,2.8,Resell
R0003153,OL0026706,2025-12-25,Late Delivery,Damaged,239.33,6.06,4.4,Write-off
R0003154,OL0026708,2026-01-16,Late Delivery,New,73.04,7.88,3.98,Resell
R0003155,OL0026717,2026-01-19,Changed Mind,New,297.01,2.83,3.77,Resell
R0003156,OL0026718,2026-01-22,Defective,Opened,352.36,8.42,1.76,Write-off
R0003157,OL0026719,2026-01-12,Defective,New,31.05,6.73,0.27,Resell
R0003158,OL0026721,2025-12-10,Other,New,189.84,6.71,1.19,Resell
R0003159,OL0026722,2025-12-29,Other,New,240.46,2.05,6.51,Resell
R0003160,OL0026727,2025-12-28,Changed Mind,Opened,374.79,2.32,0.73,Write-off
R0003161,OL0026739,2025-12-04,Changed Mind,New,108.57,5.01,6.52,Resell
R0003162,OL0026749,2025-12-08,Wrong Size,New,265.33,3.72,6.26,Resell
R0003163,OL0026754,2025-12-29,Defective,New,536.27,0.75,3.82,Resell
R0003164,OL0026763,2026-01-04,Changed Mind,New,146.99,1.03,2.57,Resell
R0003165,OL0026772,2026-01-04,Changed Mind,New,89.96,1.03,2.77,Resell
R0003166,OL0026807,2026-01-23,Defective,Opened,60.04,0.7,8.27,Write-off
R0003167,OL0026812,2025-12-03,Changed Mind,Opened,1029.57,1.77,7.74,Write-off
R0003168,OL0026816,2025-11-23,Wrong Size,New,19.56,5.24,4.37,Resell
R0003169,OL0026819,2026-01-03,Changed Mind,Opened,567.01,2.78,4.94,Write-off
R0003170,OL0026820,2026-01-07,Changed Mind,Opened,77.19,8.79,2.79,Write-off
R0003171,OL0026824,2025-12-25,Wrong Size,New,24.0,0.01,8.51,Resell
R0003172,OL0026827,2026-01-11,Late Delivery,New,427.05,1.69,6.74,Resell
R0003173,OL0026828,2025-12-23,Wrong Size,New,338.59,3.84,2.67,Resell
R0003174,OL0026829,2025-12-15,Changed Mind,New,171.49,7.52,7.66,Resell
R0003175,OL0026836,2026-01-02,Other,New,165.56,8.14,6.06,Resell
R0003176,OL0026844,2025-12-07,Wrong Size,New,913.53,3.94,1.71,Resell
R0003177,OL0026857,2026-01-22,Late Delivery,New,39.6,9.97,3.57,Resell
R0003178,OL0026872,2025-12-17,Changed Mind,New,78.65,0.46,6.53,Resell
R0003179,OL0026895,2026-01-17,Wrong Size,New,110.49,0.56,7.52,Resell
R0003180,OL0026896,2026-01-10,Late Delivery,Opened,568.17,7.49,0.35,Write-off
R0003181,OL0026898,2026-01-03,Changed Mind,Opened,121.53,2.96,6.64,Write-off
R0003182,OL0026899,2025-12-29,Other,Opened,402.06,6.11,1.89,Write-off
R0003183,OL0026903,2025-12-24,Late Delivery,New,54.11,0.11,3.19,Resell
R0003184,OL0026905,2025-12-29,Changed Mind,Damaged,175.4,6.17,6.45,Write-off
R0003185,OL0026910,2025-12-02,Changed Mind,New,78.58,5.41,1.47,Resell
R0003186,OL0026915,2026-01-05,Wrong Size,New,91.97,6.66,5.53,Resell
R0003187,OL0026936,2025-12-04,Wrong Size,New,44.81,2.56,5.24,Resell
R0003188,OL0026953,2026-01-17,Defective,Damaged,75.87,9.45,0.1,Write-off
R0003189,OL0026954,2026-01-09,Defective,Opened,94.57,2.94,6.18,Write-off
R0003190,OL0026971,2025-12-19,Changed Mind,New,78.49,9.77,4.94,Resell
R0003191,OL0026987,2025-12-14,Defective,Opened,328.5,1.33,0.6,Write-off
R0003192,OL0026992,2025-12-14,Defective,New,89.39,0.18,3.0,Resell
R0003193,OL0026995,2025-12-18,Wrong Size,New,234.19,3.91,3.71,Resell
R0003194,OL0027021,2025-12-30,Changed Mind,New,43.86,1.4,1.46,Resell
R0003195,OL0027025,2025-12-09,Changed Mind,Opened,162.43,9.35,4.58,Write-off
R0003196,OL0027030,2026-01-09,Defective,Opened,154.62,7.39,7.75,Write-off
R0003197,OL0027044,2025-12-09,Late Delivery,Damaged,30.47,6.43,0.07,Write-off
R0003198,OL0027058,2025-12-18,Wrong Size,New,0.0,7.09,8.6,Resell
R0003199,OL0027073,2026-01-07,Wrong Size,New,118.16,3.49,4.21,Resell
R0003200,OL0027082,2026-01-15,Wrong Size,New,516.28,2.48,3.28,Resell
R0003201,OL0027087,2025-11-30,Wrong Size,New,11.22,7.1,2.67,Resell
R0003202,OL0027094,2025-12-17,Wrong Size,Opened,111.49,4.0,9.29,Write-off
R0003203,OL0027115,2026-01-05,Wrong Size,New,111.62,5.36,1.32,Resell
R0003204,OL0027122,2025-12-12,Changed Mind,Opened,58.5,6.97,7.75,Write-off
R0003205,OL0027133,2025-12-30,Wrong Size,Opened,159.9,4.27,9.78,Write-off
R0003206,OL0027134,2025-12-31,Changed Mind,New,465.46,2.12,9.49,Resell
R0003207,OL0027137,2025-12-10,Other,New,792.82,3.41,8.57,Resell
R0003208,OL0027165,2025-12-12,Defective,New,229.32,0.69,1.76,Resell
R0003209,OL0027167,2025-12-15,Wrong Size,New,665.56,4.21,8.73,Resell
R0003210,OL0027176,2025-11-14,Other,Opened,298.49,0.45,0.2,Write-off
R0003211,OL0027181,2026-01-26,Changed Mind,New,174.09,5.34,9.29,Resell
R0003212,OL0027182,2026-01-08,Late Delivery,New,383.05,6.07,1.37,Resell
R0003213,OL0027186,2025-12-04,Other,Opened,53.81,2.28,7.23,Write-off
R0003214,OL0027190,2026-01-13,Wrong Size,New,189.42,9.7,7.34,Resell
R0003215,OL0027193,2025-12-17,Other,New,517.7,1.98,3.42,Resell
R0003216,OL0027218,2025-12-12,Defective,New,183.31,9.33,1.14,Resell
R0003217,OL0027223,2025-11-30,Defective,Opened,148.61,1.2,0.03,Write-off
R0003218,OL0027229,2026-01-03,Changed Mind,New,118.65,9.3,4.96,Resell
R0003219,OL0027235,2025-11-25,Wrong Size,New,133.97,8.21,3.55,Resell
R0003220,OL0027243,2025-12-17,Wrong Size,New,268.41,4.58,1.21,Resell
R0003221,OL0027259,2026-01-06,Wrong Size,New,452.56,9.07,1.91,Resell
R0003222,OL0027261,2025-11-17,Other,Opened,193.08,9.83,3.06,Write-off
R0003223,OL0027274,2025-12-20,Changed Mind,New,40.28,0.62,4.36,Resell
R0003224,OL0027281,2025-11-30,Wrong Size,Damaged,169.13,2.39,8.73,Write-off
R0003225,OL0027292,2025-12-10,Changed Mind,New,0.0,4.97,5.12,Resell
R0003226,OL0027306,2025-12-30,Wrong Size,Opened,79.72,6.65,7.65,Write-off
R0003227,OL0027317,2025-12-31,Late Delivery,Opened,243.82,4.76,9.68,Write-off
R0003228,OL0027318,2025-12-20,Wrong Size,New,232.31,1.1,6.33,Resell
R0003229,OL0027344,2025-11-23,Late Delivery,New,394.0,0.69,9.21,Resell
R0003230,OL0027366,2026-01-18,Defective,Opened,109.48,5.59,5.58,Write-off
R0003231,OL0027369,2025-12-25,Changed Mind,Opened,430.55,9.39,6.25,Write-off
R0003232,OL0027372,2026-01-22,Defective,New,32.36,5.13,5.6,Resell
R0003233,OL0027382,2025-12-04,Changed Mind,Opened,255.71,2.88,5.54,Write-off
R0003234,OL0027384,2025-12-14,Defective,Opened,203.33,5.47,3.94,Write-off
R0003235,OL0027387,2025-11-24,Defective,New,232.42,3.57,5.45,Resell
R0003236,OL0027393,2025-12-30,Wrong Size,New,173.33,2.61,5.1,Resell
R0003237,OL0027400,2025-12-19,Late Delivery,New,48.38,8.82,8.35,Resell
R0003238,OL0027407,2026-01-05,Defective,Opened,157.24,8.07,8.5,Write-off
R0003239,OL0027416,2025-12-28,Defective,New,39.07,8.27,6.38,Resell
R0003240,OL0027421,2025-12-31,Changed Mind,New,76.88,8.67,2.46,Resell
R0003241,OL0027423,2025-12-28,Changed Mind,Damaged,650.22,5.63,6.49,Write-off
R0003242,OL0027431,2025-12-12,Changed Mind,New,160.45,0.67,3.88,Resell
R0003243,OL0027439,2025-11-27,Defective,New,115.63,1.59,0.24,Resell
R0003244,OL0027442,2026-01-26,Late Delivery,Damaged,0.0,9.42,7.0,Write-off
R0003245,OL0027446,2026-01-07,Defective,New,253.07,8.17,4.26,Resell
R0003246,OL0027453,2025-12-30,Other,New,324.57,8.21,8.11,Resell
R0003247,OL0027458,2026-01-06,Defective,New,386.43,4.79,7.12,Resell
R0003248,OL0027459,2026-01-23,Late Delivery,Opened,0.0,7.69,4.28,Write-off
R0003249,OL0027464,2025-11-27,Wrong Size,Opened,301.47,5.58,6.27,Write-off
R0003250,OL0027469,2025-12-20,Changed Mind,New,416.78,7.46,4.7,Resell
R0003251,OL0027472,2025-12-13,Changed Mind,New,395.68,1.52,3.36,Resell
R0003252,OL0027527,2026-01-20,Changed Mind,Opened,0.0,8.57,6.84,Write-off
R0003253,OL0027536,2026-01-24,Changed Mind,New,757.57,4.03,8.94,Resell
R0003254,OL0027556,2025-12-25,Late Delivery,Opened,135.21,3.17,0.03,Write-off
R0003255,OL0027560,2025-12-31,Wrong Size,New,106.44,7.53,6.43,Resell
R0003256,OL0027587,2025-12-09,Wrong Size,New,187.65,6.32,4.04,Resell
R0003257,OL0027590,2026-01-17,Other,Opened,402.25,8.85,1.97,Write-off
R0003258,OL0027604,2026-01-05,Defective,New,128.57,4.07,3.13,Resell
R0003259,OL0027606,2025-12-19,Defective,Damaged,97.49,0.43,5.22,Write-off
R0003260,OL0027614,2026-01-18,Changed Mind,Opened,217.67,1.49,5.25,Write-off
R0003261,OL0027615,2026-01-08,Wrong Size,New,47.94,0.37,5.45,Resell
R0003262,OL0027619,2025-12-21,Wrong Size,New,292.85,4.03,0.43,Resell
R0003263,OL0027621,2026-01-05,Wrong Size,New,686.64,3.53,3.48,Resell
R0003264,OL0027622,2026-01-01,Wrong Size,Opened,47.32,5.75,2.72,Write-off
R0003265,OL0027624,2025-12-22,Defective,New,156.0,0.8,5.15,Resell
R0003266,OL0027635,2025-12-03,Changed Mind,New,48.31,3.77,0.03,Resell
R0003267,OL0027645,2025-12-24,Defective,New,98.79,0.07,3.37,Resell
R0003268,OL0027650,2025-11-30,Changed Mind,Opened,14.52,1.67,5.52,Write-off
R0003269,OL0027651,2025-12-04,Changed Mind,New,741.28,2.53,6.77,Resell
R0003270,OL0027667,2025-12-27,Changed Mind,Opened,0.0,4.95,7.68,Write-off
R0003271,OL0027677,2026-01-15,Other,New,123.74,8.09,4.64,Resell
R0003272,OL0027684,2026-01-03,Changed Mind,New,51.01,3.62,1.15,Resell
R0003273,OL0027694,2025-12-16,Changed Mind,New,279.62,8.93,9.97,Resell
R0003274,OL0027701,2026-01-07,Wrong Size,Opened,169.67,8.03,0.48,Write-off
R0003275,OL0027714,2025-12-03,Defective,Opened,197.83,4.38,1.08,Write-off
R0003276,OL0027724,2025-12-08,Wrong Size,New,274.46,0.69,3.6,Resell
R0003277,OL0027731,2025-12-31,Changed Mind,Opened,133.67,2.44,1.81,Write-off
R0003278,OL0027733,2026-01-19,Other,Opened,290.39,3.84,7.66,Write-off
R0003279,OL0027748,2025-12-31,Defective,Opened,213.66,6.14,4.31,Write-off
R0003280,OL0027755,2026-01-12,Other,Opened,258.08,6.11,9.96,Write-off
R0003281,OL0027767,2025-12-06,Wrong Size,Opened,331.26,1.69,2.56,Write-off
R0003282,OL0027790,2025-12-25,Other,New,256.39,1.01,4.72,Resell
R0003283,OL0027794,2026-01-01,Wrong Size,Opened,539.36,6.34,0.46,Write-off
R0003284,OL0027803,2026-01-22,Other,New,430.99,5.9,0.83,Resell
R0003285,OL0027808,2025-11-22,Changed Mind,Opened,212.16,2.62,1.67,Write-off
R0003286,OL0027811,2025-11-29,Wrong Size,Opened,485.8,4.58,1.34,Write-off
R0003287,OL0027817,2026-01-12,Wrong Size,Opened,111.44,2.96,4.62,Write-off
R0003288,OL0027822,2025-12-02,Changed Mind,Opened,451.29,2.06,0.48,Write-off
R0003289,OL0027829,2025-12-23,Other,Opened,169.49,3.14,4.97,Write-off
R0003290,OL0027831,2025-12-30,Defective,New,557.48,3.81,8.11,Resell
R0003291,OL0027837,2026-01-05,Late Delivery,Opened,56.79,9.31,2.83,Write-off
R0003292,OL0027838,2026-01-16,Late Delivery,New,34.19,4.08,0.8,Resell
R0003293,OL0027849,2025-12-06,Defective,Damaged,31.64,6.31,5.63,Write-off
R0003294,OL0027850,2026-01-08,Wrong Size,New,179.96,3.64,1.54,Resell
R0003295,OL0027861,2025-12-22,Wrong Size,New,325.59,8.88,5.5,Resell
R0003296,OL0027864,2025-12-31,Other,New,634.55,0.4,3.61,Resell
R0003297,OL0027866,2025-12-29,Wrong Size,New,113.96,7.29,1.54,Resell
R0003298,OL0027867,2026-01-17,Wrong Size,New,72.69,4.88,6.21,Resell
R0003299,OL0027869,2025-12-17,Wrong Size,Opened,227.72,3.25,5.72,Write-off
R0003300,OL0027892,2026-01-08,Late Delivery,Opened,137.43,6.87,0.93,Write-off
R0003301,OL0027903,2025-12-31,Wrong Size,New,315.74,2.37,4.26,Resell
R0003302,OL0027906,2026-01-29,Wrong Size,New,25.68,3.8,1.62,Resell
R0003303,OL0027911,2026-01-05,Defective,New,0.0,0.35,9.3,Resell
R0003304,OL0027926,2026-01-04,Changed Mind,New,308.12,7.57,6.55,Resell
R0003305,OL0027927,2026-01-12,Defective,New,24.09,0.58,4.96,Resell
R0003306,OL0027955,2025-12-21,Defective,Opened,80.94,0.53,8.65,Write-off
R0003307,OL0027978,2026-01-01,Other,New,218.48,3.55,3.28,Resell
R0003308,OL0027984,2025-12-06,Defective,New,173.06,2.56,5.7,Resell
R0003309,OL0028006,2025-12-04,Other,New,218.54,1.52,0.64,Resell
R0003310,OL0028020,2025-12-13,Wrong Size,New,176.18,9.05,2.38,Resell
R0003311,OL0028036,2025-12-07,Other,Damaged,203.39,5.67,5.56,Write-off
R0003312,OL0028040,2026-01-01,Wrong Size,New,110.74,0.33,5.08,Resell
R0003313,OL0028048,2025-12-24,Wrong Size,New,185.6,4.43,3.58,Resell
R0003314,OL0028057,2026-01-17,Defective,New,348.32,6.65,6.08,Resell
R0003315,OL0028063,2025-12-21,Wrong Size,Opened,501.35,7.58,4.54,Write-off
R0003316,OL0028068,2026-01-13,Late Delivery,New,215.51,7.79,4.0,Resell
R0003317,OL0028069,2026-01-16,Late Delivery,Opened,231.69,8.12,4.55,Write-off
R0003318,OL0028076,2025-12-19,Changed Mind,New,261.29,0.42,7.29,Resell
R0003319,OL0028111,2025-12-06,Changed Mind,Opened,132.47,1.34,7.41,Write-off
R0003320,OL0028113,2025-11-30,Other,New,152.52,0.91,7.83,Resell
R0003321,OL0028148,2025-11-29,Wrong Size,Opened,255.57,6.26,3.94,Write-off
R0003322,OL0028151,2025-11-22,Late Delivery,New,441.5,1.22,4.22,Resell
R0003323,OL0028171,2026-01-23,Late Delivery,New,122.4,4.29,3.81,Resell
R0003324,OL0028172,2026-01-16,Other,New,234.61,0.77,3.5,Resell
R0003325,OL0028188,2026-01-21,Wrong Size,Opened,247.14,1.03,7.3,Write-off
R0003326,OL0028204,2026-01-07,Changed Mind,Opened,341.35,0.92,4.54,Write-off
R0003327,OL0028215,2025-12-02,Wrong Size,Opened,9.66,3.3,5.42,Write-off
R0003328,OL0028233,2026-01-02,Changed Mind,New,164.71,3.65,7.73,Resell
R0003329,OL0028235,2025-11-28,Wrong Size,New,200.23,6.73,3.75,Resell
R0003330,OL0028239,2025-12-29,Wrong Size,New,11.11,4.09,8.71,Resell
R0003331,OL0028242,2026-01-03,Other,Opened,298.2,4.9,3.02,Write-off
R0003332,OL0028244,2025-12-30,Changed Mind,New,373.94,7.2,1.52,Resell
R0003333,OL0028246,2025-11-22,Defective,Opened,142.83,1.19,9.18,Write-off
R0003334,OL0028248,2025-12-26,Wrong Size,New,11.12,7.61,3.15,Resell
R0003335,OL0028277,2025-12-14,Defective,Damaged,162.65,9.41,2.53,Write-off
R0003336,OL0028283,2026-01-05,Defective,New,59.98,4.52,0.87,Resell
R0003337,OL0028285,2025-12-10,Wrong Size,Opened,79.57,5.75,9.97,Write-off
R0003338,OL0028300,2025-12-23,Defective,New,56.32,2.91,0.8,Resell
R0003339,OL0028333,2026-01-09,Wrong Size,New,805.02,8.94,5.59,Resell
R0003340,OL0028336,2025-12-20,Defective,New,277.68,7.32,9.51,Resell
R0003341,OL0028347,2025-12-28,Defective,Opened,95.65,4.57,3.23,Write-off
R0003342,OL0028359,2026-01-27,Wrong Size,New,128.95,7.98,8.23,Resell
R0003343,OL0028360,2026-01-13,Other,Damaged,80.66,4.75,9.74,Write-off
R0003344,OL0028362,2025-12-19,Changed Mind,New,284.36,4.61,6.19,Resell
R0003345,OL0028364,2025-12-04,Defective,New,67.85,3.56,7.36,Resell
R0003346,OL0028380,2025-12-14,Wrong Size,Opened,550.25,3.18,7.33,Write-off
R0003347,OL0028382,2025-11-28,Other,Opened,28.61,4.49,0.91,Write-off
R0003348,OL0028385,2026-01-11,Late Delivery,New,59.33,2.79,2.43,Resell
R0003349,OL0028396,2026-01-04,Wrong Size,New,546.79,8.27,2.93,Resell
R0003350,OL0028414,2025-12-09,Changed Mind,Opened,203.98,1.01,1.72,Write-off
R0003351,OL0028417,2026-01-07,Changed Mind,Damaged,45.94,4.66,7.73,Write-off
R0003352,OL0028422,2026-01-15,Other,New,55.44,7.38,9.81,Resell
R0003353,OL0028425,2025-12-03,Defective,New,223.28,2.84,5.01,Resell
R0003354,OL0028430,2025-12-27,Defective,Opened,125.74,9.74,7.41,Write-off
R0003355,OL0028434,2026-01-05,Defective,New,0.0,0.66,9.04,Resell
R0003356,OL0028435,2026-01-04,Defective,Damaged,38.68,4.45,7.84,Write-off
R0003357,OL0028442,2026-01-16,Defective,New,145.97,4.98,5.4,Resell
R0003358,OL0028458,2025-12-10,Changed Mind,New,196.71,6.03,4.67,Resell
R0003359,OL0028462,2025-12-26,Defective,New,490.78,0.02,8.78,Resell
R0003360,OL0028463,2025-12-27,Defective,Opened,194.21,0.97,2.48,Write-off
R0003361,OL0028473,2026-01-19,Wrong Size,New,317.54,1.68,2.74,Resell
R0003362,OL0028475,2025-12-26,Changed Mind,New,202.82,3.7,6.53,Resell
R0003363,OL0028477,2025-12-23,Wrong Size,Opened,64.6,4.09,6.45,Write-off
R0003364,OL0028501,2026-01-16,Late Delivery,New,334.38,3.14,2.19,Resell
R0003365,OL0028515,2026-01-23,Defective,Opened,434.72,7.05,4.79,Write-off
R0003366,OL0028522,2025-12-18,Changed Mind,Damaged,337.95,0.76,9.69,Write-off
R0003367,OL0028523,2025-12-13,Wrong Size,New,0.0,2.58,8.91,Resell
R0003368,OL0028526,2026-01-06,Late Delivery,New,227.1,2.73,1.94,Resell
R0003369,OL0028531,2025-12-13,Changed Mind,New,87.81,6.28,1.99,Resell
R0003370,OL0028532,2025-12-08,Defective,New,17.61,3.71,5.01,Resell
R0003371,OL0028537,2025-12-16,Changed Mind,New,152.24,2.35,1.4,Resell
R0003372,OL0028538,2025-12-18,Other,Opened,284.69,7.52,2.59,Write-off
R0003373,OL0028549,2025-11-19,Late Delivery,New,48.54,3.17,8.29,Resell
R0003374,OL0028560,2026-01-17,Changed Mind,Damaged,83.15,1.27,6.73,Write-off
R0003375,OL0028577,2025-11-23,Changed Mind,New,589.11,9.77,1.73,Resell
R0003376,OL0028580,2025-12-03,Changed Mind,New,231.71,6.75,1.31,Resell
R0003377,OL0028582,2026-01-26,Late Delivery,New,43.98,6.68,4.74,Resell
R0003378,OL0028595,2025-12-17,Changed Mind,New,733.53,3.84,8.05,Resell
R0003379,OL0028596,2026-01-01,Changed Mind,Damaged,13.73,2.67,2.33,Write-off
R0003380,OL0028600,2025-11-18,Changed Mind,New,47.6,5.23,2.96,Resell
R0003381,OL0028603,2026-02-06,Defective,New,3.79,4.06,8.3,Resell
R0003382,OL0028617,2026-01-09,Wrong Size,New,58.0,6.37,2.92,Resell
R0003383,OL0028622,2026-01-01,Wrong Size,Opened,399.77,0.64,5.36,Write-off
R0003384,OL0028624,2025-12-28,Defective,New,232.01,9.74,8.44,Resell
R0003385,OL0028641,2025-11-22,Changed Mind,New,42.29,2.39,5.14,Resell
R0003386,OL0028646,2025-12-30,Changed Mind,New,33.52,4.96,0.19,Resell
R0003387,OL0028648,2025-12-29,Wrong Size,Opened,416.0,8.92,3.61,Write-off
R0003388,OL0028651,2026-01-01,Other,New,134.66,2.52,1.31,Resell
R0003389,OL0028653,2025-12-30,Changed Mind,New,189.95,9.5,7.57,Resell
R0003390,OL0028666,2026-01-11,Defective,New,264.13,7.44,3.51,Resell
R0003391,OL0028667,2026-01-13,Defective,New,347.48,0.47,7.52,Resell
R0003392,OL0028681,2025-12-15,Late Delivery,New,71.86,0.76,6.27,Resell
R0003393,OL0028682,2025-12-17,Wrong Size,Opened,90.51,4.74,3.34,Write-off
R0003394,OL0028689,2026-01-16,Changed Mind,New,3.91,5.39,8.75,Resell
R0003395,OL0028690,2026-01-15,Changed Mind,New,170.13,0.6,2.32,Resell
R0003396,OL0028704,2025-12-17,Other,New,164.77,1.38,4.1,Resell
R0003397,OL0028721,2026-01-12,Defective,New,102.85,4.47,7.53,Resell
R0003398,OL0028723,2026-01-10,Defective,New,268.3,6.7,2.71,Resell
R0003399,OL0028734,2025-12-09,Wrong Size,Opened,157.19,9.77,3.29,Write-off
R0003400,OL0028737,2025-12-08,Other,New,165.71,3.1,1.75,Resell
R0003401,OL0028753,2026-01-01,Other,Opened,244.31,4.38,1.92,Write-off
R0003402,OL0028762,2025-12-17,Wrong Size,New,151.89,5.41,2.79,Resell
R0003403,OL0028768,2025-12-08,Changed Mind,New,302.94,7.21,3.86,Resell
R0003404,OL0028769,2025-12-14,Defective,Damaged,244.02,4.13,5.54,Write-off
R0003405,OL0028793,2025-12-07,Changed Mind,Opened,212.67,2.07,6.37,Write-off
R0003406,OL0028820,2025-11-10,Late Delivery,New,178.93,6.52,8.56,Resell
R0003407,OL0028832,2025-12-11,Wrong Size,New,74.38,4.43,3.19,Resell
R0003408,OL0028833,2025-11-30,Late Delivery,Opened,175.01,9.57,7.89,Write-off
R0003409,OL0028843,2025-12-31,Late Delivery,Damaged,95.72,6.44,5.37,Write-off
R0003410,OL0028844,2025-12-12,Wrong Size,Opened,139.09,7.53,0.41,Write-off
R0003411,OL0028855,2025-12-02,Defective,New,144.58,0.89,8.05,Resell
R0003412,OL0028868,2026-01-12,Changed Mind,New,538.58,6.9,9.05,Resell
R0003413,OL0028870,2026-01-04,Defective,Opened,94.82,2.4,6.61,Write-off
R0003414,OL0028882,2025-11-28,Wrong Size,Opened,165.91,1.8,9.39,Write-off
R0003415,OL0028888,2025-11-14,Late Delivery,Opened,314.88,2.41,8.7,Write-off
R0003416,OL0028890,2025-11-23,Other,New,406.41,2.83,2.33,Resell
R0003417,OL0028893,2025-12-03,Changed Mind,New,258.08,1.96,8.05,Resell
R0003418,OL0028913,2025-11-20,Other,Opened,68.89,7.49,6.46,Write-off
R0003419,OL0028915,2025-12-05,Defective,Opened,121.93,4.71,3.27,Write-off
R0003420,OL0028918,2025-12-16,Late Delivery,New,141.42,8.91,3.59,Resell
R0003421,OL0028922,2025-12-02,Wrong Size,New,119.88,8.47,0.79,Resell
R0003422,OL0028929,2025-12-07,Wrong Size,Opened,470.3,7.3,6.67,Write-off
R0003423,OL0028946,2026-01-13,Other,New,378.4,9.84,1.76,Resell
R0003424,OL0028955,2025-12-23,Changed Mind,Opened,144.9,4.77,4.78,Write-off
R0003425,OL0028970,2026-01-11,Wrong Size,Opened,342.7,6.5,2.55,Write-off
